,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1228,Leucothrix,0.4300083198,1.2550548416,3.7735236025,0.4574763997,3.0962758713,0.1245056038,0.20037181,0.6753830966,0.4612777332,0.4731889674,0.140534667,0.7292767267,0.907840532,0.6177167591,1.6732571929
1229,Levilinea,0.5160099838,3.1592759807,2.4943630596,2.0840591535,3.1411494347,0.9337920285,2.1239411855,2.0583103897,2.4217080993,2.2203482321,1.0305875578,1.0696058656,0.6536451833,1.4825202218,1.7848076729
1230,Levyella,0.3440066558,1.2117770884,1.0872864618,1.9315670204,0.5833563238,0.1245056038,0.4808923439,0.4502553977,0.7303564109,0.3275923621,0.140534667,0.7292767266,1.8883083067,1.6472446908,0.5577523977
1231,Lewinella,0,0.2596665189,0.1279160543,0.2033228443,0.3141149435,0,0.160297448,0.192966599,0.3075184888,0.1819957567,0.046844889,0.0972368969,0.3631362128,0.2059055864,0.7436698636
1232,Libanicoccus,0.2580049919,0.0865555063,0.1279160543,0.0508307111,0.9423448305,0,0.040074362,0.0321610998,0.0768796222,0.1455966053,0,0,0.0363136213,0.0823622346,0.409018425
1233,Liberibacter,0.1720033279,0.2163887658,0.383748163,0.4574763996,0.3141149436,0.1245056038,0.160297448,0.2572887987,0.1921990555,0.1455966054,0.093689778,0.2430922422,0.3994498341,0.3294489382,0.4833854113
1234,Lichtheimia,0.1720033279,0.0432777532,0.0639580272,0.3049842664,0.0448735634,0,0.080148724,0.0643221997,0,0.2911932108,0,0.0486184484,0,0.0411811173,0.1487339727
1235,Lihuaxuella,0,0.1298332595,0.1918740815,0,0.0897471267,0,0.080148724,0.0964832995,0.1537592444,0.1819957567,0,0,0,0.1647244691,0
1236,Limimonas,0.5160099838,1.2983325948,0.767496326,1.8299055982,0.6731034503,0.622528019,0.9217103256,1.3186050934,0.8456758442,0.8007813296,1.4521915586,0.9237505204,1.2346631237,1.4825202218,1.6360736998
1237,Limnobacter,0.6880133117,1.7743878795,9.2739139385,4.3714411513,2.6924138013,0.3735168114,0.4808923439,1.0613162946,0.6150369776,0.655184724,0.515293779,0.5348029328,0.8715269108,1.8119691598,2.305376577
1238,Limnochorda,3.7840732143,8.092939841,9.3378719655,9.2511894131,7.8977471503,3.1126400951,4.368105457,5.2744203734,5.4584531761,4.7318896747,1.5458813367,2.2364486283,3.9218710989,5.5182697145,8.1431850063
1239,Limnohabitans,0,0.1298332595,0.8314543531,0.9657835102,0.9423448306,0,0.040074362,0.1286443994,0.0768796222,0.0727983027,0.046844889,0.0972368968,0,0.0823622345,0.7808533568
1240,Limnoraphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
