,Group.1,G11A.1.dna,G11A.2.dna,G11A.3.dna,G11A.4.dna,G11A.5.dna,G11B.1.dna,G11B.2.dna,G11B.3.dna,G11b.4.dna,G11B.5.dna,G11C.1.dna,G11C.2.dna,G11C.3.dna,G11C.4.dna,G11C.5.dna,G1A.1.dna,G1A.2.dna,G1A.3.dna,G1A.4.dna,G1A.5.dna,G1B.1.dna,G1B.2.dna,G1B.3.dna,G1B.4.dna,G1B.5.dna,G1C.1.dna,G1C.2.dna,G1C.3.dna,G1C.4.dna,G1C.5.dna,V10A.1.dna,V10A.2.dna,V10A.3.dna,V10A.4.dna,V10A.5.dna,V10B.1.dna,V10B.2.dna,V10B.3.dna,V10B.4.dna,V10B.5.dna,V10C.1.dna,V10C.2.dna,V10C.3.dna,V10C.4.dna,V10C.5.dna
209,Arsenicibacter,0.117496566675453,0.515274042442231,0.337924815875225,0.156511149299567,0.126746894372804,0.120885705128741,0.379639042108386,0.158598329113737,0.0707711278709723,0.0802298939473124,0.0727582703962168,0.167327204751356,0.282384966953899,0.311806981144497,0.143573904811075,0.126399814470417,0.134783865810521,0.0676352788066319,0.209853263426021,0.222438952570649,0,0.155299373708686,0,0.348511335727458,0.437549940856375,0.0343375,0.1330579,0.0914745166213221,0.0903128047210477,0.0778930551720405,0.153366769299989,0.0761110443931148,0.0740499524391966,0.0626481116947112,0.054269848138213,0.0779468062933004,0.0372851906951078,0.209645311161022,0.03576223,0.0797707426298915,0,0.255341162604061,0.123850584013301,0.194777072284401,0.0488914833969412
210,Arsenicicoccus,1.05187404396956,0.734613663757324,1.12499020746478,1.44394155241048,1.63756979624854,1.8938760871886,0.835205874036129,1.69171530970458,1.45080808574195,4.57310397697366,2.1827481023773,1.33861761306623,0.98834732,0.846333273347642,1.50752596481108,2.86857364544681,2.07952263240826,2.78657343177906,1.65784081548357,2.50485612171304,1.21274344413244,0.46589816,0.643444202888274,0.89063998,0.656324962256912,2.43796269987438,1.96260356870777,2.13440556174627,1.89656882832629,1.40207493620428,1.23715851817387,1.07099114791938,0.557842963910822,0.426007104883012,0.463760507749131,2.06558982831985,1.08127051181683,0.461219668928817,0.75100685,0.239312212629891,3.75155665611659,0.808580343038071,0.536685848004434,0.82780247,0.440023403587765
211,Arsenophonus,0.207017761237319,0.167115903537175,0.226709055626743,0.126218668171181,0.288982916042208,0.523838045901189,0.0759278093574192,0.0528661097045789,0,0.0802298939473124,0.145516540792434,0.418318009502713,0.0941283223179664,0.267263108898428,0.502508666838764,0.0983109690192364,0.0770193574393314,0.0586172422099478,0.113320760137818,0.116055105491665,0.12545622103311,0.116474526854343,0.0459603,0.193617403931865,0.04375499,0.0343375038749873,0.232851265080427,0,0.0903128047210477,0.194732640344081,0.24538679367825,0.18484111286141,0.0839232809837857,0.125296218318109,0.108539697665508,0.233840415733251,0.298281524170647,0.0419290622322043,0,0,0.350612776417489,0.510682361736041,0.0412835280044335,0.194777072284401,0.0977829633969412
212,Arsukibacterium,0.19582757,0.139263261,0.19676632,0.07068245,0.076048136,0.16118094,0.1138917,0.1057322,0.1769278,0.24068965,0.07275827,0.0836636,0.09412832,0,0,0.05968879,0.050062583,0.03156313,0.079744245,0.33365845,0.08363748,0.07764969,0.2757618,0,0.08750999,0.0343375,0.13305786,0,0.3612512,0.07789306,0.03578558,0.03805553,0.07898661,0,0.03453536,0,0.1491408,0.08385812,0.07152446,0.07977074,0.07012256,0,0,0.2921656,0
213,Arthrobacter,29.374141700101,32.8730908124452,70.2113663404094,97.5569333014971,68.362204476195,25.426292606305,39.6343142271871,40.1253753167356,32.9793464847103,108.230127265104,37.0339599674221,34.9713852513788,32.521335178156,26.5481374785695,36.252410248803,29.6126690094212,26.2250897857055,25.5931889966679,27.9104840061851,26.4025366406614,25.1330628290592,24.1878774682494,25.1862448964026,40.5047612061104,39.2482312430061,26.0278277502441,24.6489696988524,28.7229985073963,24.3844565854099,31.0793291464726,25.6224746872552,23.1377584740296,17.0216155824642,21.0059110056434,26.4540829275244,26.7357539438333,23.601526111629,21.1322471668002,25.7130417618119,26.9625120269213,28.9255549092195,18.6399045533122,22.5408069111306,17.5786310062476,15.5963833027094
214,Arthrobotrys,0.0615458201805253,0.0591868828052789,0.0641629418269576,0.222144853667254,0.101397515545136,0,0,0,0.106156691806459,0.0401149469736562,0,0,0,0,0.179467381013844,0.017555530196007,0.0577645133711898,0.00450901860082898,0.0797442412330762,0.120890733126811,0,0.232949063708686,0.183841203851032,0.116170445897797,0.17502,0,0,0,0.0903128047210477,0.0389465275860202,0.00511222562173866,0.0163095103179345,0.0246833134959464,0.0187944335649037,0.0592034676655081,0,0,0,0,0.119656117889675,0,0,0.0412835280044335,0.0486942680711003,0
215,Arthrospira,0.128686716675453,0.194968558683941,0.513303549567394,0.373607229256772,0.730062096649478,0.0805904702574825,0.151855618714838,0.422928829113737,0.318470087870972,0.160459783947312,0.0727582703962168,0.125495403563517,0.376513285794916,0.356350828898428,0.287147811013845,0.186088666313611,0.142485799068142,0.257014097209948,0.260218044110254,0.26595961471413,0.25091244206622,0.504722947135857,0.735364803851032,0.11617044,0.262529958171275,0.137350015499949,0.03326447,0.121966029863966,0.316094807081572,0.15578612758602,0.0664589334608638,0.13591258878623,0.192529869918929,0.382153437142627,0.991658079192803,0,0.0372851906951078,0,0.286097830138963,0.279197613149458,0,0.255341161736041,0.412835296031035,0.2921656,0.586697766793882
216,Asaccharospora,0.755335025645018,0.689353131343421,0.461973172264569,0.287778573624459,0.349821412966004,0.80590470102993,1.21484486550193,0.317196639409158,0.778482407548403,0.36103455,0.945857480396217,0.878467808314873,0.658898248112883,0.579070135593712,0.07178695,0.35462170941125,0.327332242552901,0.383266538424041,0.306385751370894,0.270795257840941,0.250912440516555,0.427073260563028,0.137880902888274,0.0387234819659323,0.218774968171275,0.583737558749873,0.532231475080427,0.914745189591899,0.767658811802619,0.701037458618263,0.66970155665649,0.820911999416656,0.947839374936554,0.93972168478445,0.656171740574934,0.350760625733251,0.559277857646185,1.13208463794747,1.21591571083378,1.15667579892881,0.245428918208744,1.19159204998223,1.19722232008867,1.0712739252798,1.02672118076329
217,Asaia,0.307729118427989,0.181042236488253,0.119770822913479,0.151462393521398,0.22814436,0.24177137,0.1518556,0.3171966,0.106156687870972,0.0401149469736562,0.181895680396217,0.0836636,0.423577402317966,0.0890877,0.21536085,0.379199462940834,0.481371011158997,0.671843802625699,0.386130003699229,0.319151552364854,0.58546232206622,0.1164745,0.643444206739306,0.1936174,0.26252999,0.480725021624962,0.133057877016085,0.365898076349255,0.0451564,0.15578613,0.0971322894608639,0.152222097393115,0.123416583975679,0.112766601188301,0.162809581916377,0.155893612586601,0.260996361390216,0.16771624,0.03576223,0,0.31555151880583,0.1276706,0.0412835280044335,0.04869427,0.0977829667938823
218,Asanoa,1.11341994634076,1.27774028439331,1.27898127612871,0.838091967069883,0.927787245821811,0.725314215901189,0.493530737429677,1.42738497527326,1.02618130903229,0.641839111841937,1.23689054198108,0.962131414254069,1.55311727506678,1.06905252783978,0.825549939622151,0.951509698900175,1.03205941179499,1.10020054451937,1.07864575870408,1.17505796253731,0.710918602582775,1.2423949559608,1.24092811732964,1.23915132325051,0.918854907198924,0.583737547124911,0.864876176128684,0.731796106213222,1.08375361416314,1.09050280310214,1.12980177946952,0.973134111341476,0.47391968031759,0.707923650934292,1.845174731165,0.740494674613153,0.894844571121724,0.754723111250861,0.60795788288215,2.19369549675436,1.15702221044664,0.723466583906092,0.660536484035468,0.535636956497702,0.537806317366353
219,Ascochyta,0,0.003481581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02808885,0.02695677,0.04058117,0.04197065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Ascoidea,0,0.013926325365948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035111060392014,0.00385096767423796,0,0.0041970652055127,0.0193425176507243,0,0,0.045960300962758,0,0,0,0.0332644670160855,0,0,0.0778930551720405,0,0.00543650343931148,0,0.00626481118830124,0.00493362230545901,0,0,0,0.0715244550694817,0,0,0,0,0,0
221,Ascosphaera,0.11190149,0.198450139048922,0.038497769,0.095926188,0.070978256,0.08059047,0.0759278,0,0.03538556,0.08022989,0.54568698,0.4601498,0.1411925,0.0890877,0.14357388,0.08426654,0.092423218,0.072144295,0.029379455,0.024178147,0,0,0.0459603,0,0.17502,0.0343375,0.06652894,0.06098301,0.0451564,0,0.199376798865216,0.364245763439311,0.192529873983786,0.137825837753205,0.078937956305459,0.4676808,0.03728519,0.33543246,0.21457333,0,0.24542892,0.12767058,0.1238506,0.04869427,0.04889148
222,Asinibacterium,0.12868672,0.337713331,0.1154933,0.2877786,0.1267469,0.12088571,0.18981951,0,0.28308453,0.08022989,0.1455165,0.9202996,0.23532076,0.17817542,0,0.207155236,0.1309329,0.121743479,0.11332077,0.06769882,0.1254562,0.07764969,0.0919206,0,0,0.0343375,0.06652893,0,0.1354692,0.03894653,0.066458936,0.03261902,0.019746653,0.02505924,0.009867245,0,0.11185557,0.29350342,0.03576223,0,0,0.08511372,0.12385059,0,0.14667445
223,Aspergillus,1.55543072845435,2.4022911787113,2.57935021353415,2.77681068273105,4.03055117530603,1.08797138102993,2.54358154742968,5.07514663463811,3.89241209154855,1.80517264131506,2.61929760955649,1.08762680712703,3.01210632520035,3.78622770025755,4.48668450659936,1.44657574592014,1.33243480455231,1.537575321663,1.38083448110011,1.14604420431594,1.63093083084766,1.12592046427171,1.19496780577655,2.4395792150461,1.88146481579839,1.44217509262486,1.92933913120911,1.18916868945587,1.30953561416314,0.584197960344081,2.4743171756304,3.40325123113948,2.86326474934332,2.0611228550641,1.36661337443672,3.35171249461315,2.49810786834129,1.63523326446441,2.53911821371593,2.63243460733805,3.4360053480583,1.19159204173604,2.97241408403547,1.6069109084266,2.34679112095412
224,Asticcacaulis,1.66173726773225,2.50325709995301,2.31842096997783,2.0094011377022,3.53877337867762,1.53121895025748,1.44262831403613,3.11910017556868,2.01697721116132,2.04586210855216,2.21912724039622,1.9242628059392,1.78843806347695,1.2917717611445,2.11771508101384,3.52866154729219,3.35804378105261,3.17434921705388,3.31148446034576,3.12381657988658,4.01459850568211,1.47534401084454,2.34397530962758,4.72426448128458,4.33174470354147,2.81567523524972,1.49690102419303,2.13440545607719,2.66422765193153,2.4536312458602,1.56434104789564,2.12023637008151,2.65592471413923,2.57483735659615,2.80723149029503,1.9096966462933,2.19982634486575,1.76102043339323,2.68216716055585,2.31335167470816,1.82318647343206,1.95761552824619,1.56877409804877,2.2399363829954,1.61341892038165
225,Athelia,0,0,0,0,0.010139751531067,0,0,0,0,0,0,0,0,0,0,0.0070222120784028,0,0,0.193064999453584,0.0773700706028974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Atopobacter,0,0,0,0,0.01013975,0,0,0,0,0,0,0,0,0,0,0.021066632,0.0269567733484759,0.0541082258024869,0.167882615616538,0.145068929412681,0,0.0776496868543429,0,0.07744696,0,0.0343375038749873,0,0,0,0,0.0460100305956479,0.0163095103179344,0.00987332699189287,0.00626481118830124,0,0,0,0,0,0,0.0350612794029148,0,0,0,0
227,Atopobium,2.05339234786205,2.50673851995881,5.03892952267681,3.63509763383587,11.9294177353577,1.93417117667364,2.96118447843355,3.64776131759231,4.77705112761306,6.73931057815593,1.23689058356595,2.80273065345276,3.24742704288238,5.70161321144498,11.0551907509504,0.797021071724133,1.31703092624926,0.88827665887295,2.25802104439317,2.92072021058077,2.04911831394699,5.39665326445523,4.73391082888274,8.90640079352715,7.87589910650307,0.652412521624962,2.59462877330562,3.26259136526099,3.61251184248943,3.93359921516663,1.71259560033907,1.95714129304708,3.26313450407861,4.29766041287818,5.04216215069004,1.32509569461315,1.97611498042662,2.13838214241188,3.54046043357697,4.66658864935219,1.05183833402915,3.87267434477411,3.4265325000665,4.9668156691376,2.39568276057247
228,Atopococcus,0.01119015,0,0.008555059,0.035341227,0,0,0,0,0,0,0,0,0,0,0,0.003511106,0.015403871,0.009018038,0.067153045,0.07737007,0,0.11647453,0.0459603,0.1161704,0.131265,0,0,0,0,0.07789306,0,0,0,0,0.004933622,0,0,0,0,0,0,0,0,0,0
229,Atopostipes,0.0335704441237319,0.0417789717318959,0.0213876466378263,0.01009749,0.06590839,0,0.0379639,0,0.03538556,0,0.0363791351981084,0.1254954,0,0,0,0.221199681568056,0.211803226272566,0.653807703877095,0.155291423699229,0.120890743126811,0.0836374810331102,0,0.045960300962758,0,0,0.274700029374937,0.232851304032171,0.274423533106611,0.361251202360524,0.27262569,0.0664589353521706,0.201150650317934,0.09379661,0.0501184843766025,0.098672445,0.0779468031466502,0,0.04192906,0.03576223,0.1196561,0.07012256,0.46812548,0,0.2921656,0.1466745
230,Aurantimicrobium,0.33570447,0.431716147,0.359312517637826,0.358461050521398,0.50191772,0.60442851,0.1518556,0.31719661,0.24769892,0.16045978,0.07275827,0.1254954,0.14119248,0.44543862,0.17946735,0.200133034,0.192548383022714,0.243486999,0.230838585,0.290137727825362,0.25091244,0.19412419,0,0.19361736,0.04375499,0.3777125,0.06652893,0.21344052,0.2709384,0.2336792,0.34763132,0.402301273635869,0.552906271390554,0.43853675150641,0.858450356527295,0.31178722,0.37285186,0.50314872,0.643720145208445,1.59541497840924,0.35061284,0.17022744,0.53668586,0.43824844,0.977829700190823
231,Aurantimonas,3.46894616930625,5.15970358194015,5.8046072793872,5.26584272518433,4.45642095695665,2.49830463334727,4.51770440393548,6.71399559552437,6.58171520483889,4.252184363157,4.51101263827327,3.55570303207166,5.88302009679018,7.83971897699575,4.19953665773291,5.16834808222355,4.8137094981411,5.38827720650982,5.84231466399428,6.32500312922822,6.10553616442374,6.28962461816392,5.97483906739306,5.73107490453509,4.68178447116859,6.69581322649883,5.62169482886862,4.97011551687123,6.99924213927091,5.68619337068275,4.51920756609115,5.95840783385774,5.27235656743532,6.52793329590383,6.43344326284564,4.44296779103921,5.59277875101136,7.08601102071871,6.93787237757082,8.05684545198208,4.41772102954866,7.53256437211675,5.32557515219508,7.40152862497702,8.50711826480847
232,Auraticoccus,1.23091634925353,1.10366134300193,0.252374240145871,0.27263231784629,0.283913070358734,2.5788949943772,1.13891705614452,0.740125419704579,0.884639112967779,0.56160928,1.85533586158487,3.17921662850814,1.03541155043085,0.801789394492139,0.610189139622151,2.00835261937059,1.20920386621937,2.29509052909119,1.15838993876935,0.933276477634055,2.21639328878144,0.46589818,0.73536480481379,0.232340843931865,0.30628498,1.71687518137473,1.1642564382252,1.28064319269851,1.6256304401289,1.59680766551612,1.94775791473032,2.69650575626174,0.868852769756786,1.06501788013541,0.641370948080147,1.59790950754616,1.26769648598748,1.2159427935729,1.25167797809059,0.598280600519566,1.96343166447579,1.06392150824619,1.3623564040798,1.4121336180711,0.880046696984705
233,Aureimonas,4.00047830969366,3.85411060903316,3.88399671881981,4.49843319868825,3.81761637069404,2.69978076796105,3.30285946293161,3.75349363556868,3.92779763380653,4.25218437499894,3.05584742272623,3.05372144395005,4.4710950947695,4.32075399453506,5.67116934950245,3.3917284372116,3.93953994540049,3.52154358179149,4.25582423391202,4.49713526286992,3.05276809188077,5.28017858966949,5.14755362310619,4.02724196521644,3.98170456171275,3.15905019174957,3.65909144467559,3.50652317458082,4.87689128969991,4.43990419758061,3.70636351495204,3.27277514892026,4.58122366615016,5.97036512551041,8.44636181915805,2.80608496495956,3.57937842780431,4.61219669821699,5.36433422632015,5.82326434308534,2.91008605253408,4.00034475215229,5.11915761019951,5.35636952563531,5.47584624228988
234,Aureispira,0.12868667,0.06615005,0.051330349,0.015146237,0.01013975,0.08059047,0,0,0,0,0.18189567,0.1673272,0.04706416,0,0,0.066711012,0.09627419,0.24348705,0.03357652,0.05319193,0,0.07764969,0,0,0,0.06867501,0.1330579,0.27442351,0.1354692,0.11683959,0.342519126,0.163095106,0.04936663,0.025059241,0.009867245,0.3117872,0.07457038,0.1257872,0.07152446,0,0.17530636,0,0.08256706,0,0.04889148
235,Aureobasidium,0.229398049046649,0.438679239610558,0.474805779756525,0.454387169820965,1.17114132874797,0.0805904702574825,0.22778343,0.422928878522895,0.495397949677431,0.922643778815593,0.472928775990542,0.1254954,0.470641661158983,0.222719304449214,0.610189090635995,0.375688348273681,0.338885114272567,0.338176392827356,0.444888958220508,0.527083604491665,0.543643626198662,1.902417,0.229801500962758,0.309787807863729,0.26253,0.858437583624759,0.399173596128684,0.304915059727933,0.9934408,1.12944931275806,0.475436975465194,0.89158663472282,2.12770241081354,1.93582663257772,2.51614743005459,0.779468054053103,0.820274233475539,1.09015556,1.46625091753474,1.196561,0.981715829252466,2.25551330043401,0.949521130022168,3.5059870761422,3.61796945339694
236,Aureococcus,0.537127171417844,0.929582224856135,0.658739510670004,0.737117029599135,0.608385070635409,0.241771415386224,0.379639043393548,0.528661058818316,0.707711319354862,0.802298953683874,0.800340932377301,0.878467810690552,1.08247565158983,0.57907011224607,0.538402161013844,0.459954910196007,0.67006839474238,0.477955982609119,0.910763170548843,1.0106465212692,0.87819354206622,1.86359248769889,1.37880900962758,0.890640009829662,1.00636492634255,0.480725017749975,1.16425626209651,0.48786407,1.67078682360524,0.778930571032243,0.526559220491285,0.853531079040755,0.997206023667608,1.03995868823958,1.06072874540769,0.467680829439951,0.521992713475539,0.838581180089839,1.39472684534741,1.35610267681848,0.701225553432062,1.23414898651015,0.90823762804877,1.4121337749243,0.635589333587765
237,Auricularia,0.067140895,0.080076371,0.149713527637826,0.141364917324892,0.218004607655335,0,0.15185562,0,0,0.200574746973656,0,0,0.14119248,0,0.215360852405538,0.021066638,0.02695677,0.018036074201658,0.10912369,0.12089073,0,0.1164745,0.0919206,0.0774469619659323,0.04375499,0,0,0,0,0,0.01533668,0.02718252,0.009873327,0,0.143075045,0,0,0,0,0.23931222,0,0,0,0.04869427,0
238,Austwickia,0.766525219176449,0.449123982758291,0.205321415524133,0.191852372256772,0.349821433338809,0.564133315901189,0.987061465501934,0.370062767932053,0.318470085741945,0.240689684868281,1.92809417030164,0.836636023756781,0.470641608112883,0.222719268898428,0.215360826202769,0.828621015841009,0.67777031470413,0.716933953490359,0.759668803085118,0.715673164935503,0.543643625682107,0.504722964553229,0.36768240481379,0.387234813761527,0.306284960428187,0.858437593624759,1.49690101572385,1.37211779809553,0.677346025965762,0.701037516204284,0.260723509356501,0.266388663057967,0.286326489341911,0.382153494272435,0.192411268887344,0.896388272933004,0.149140762780431,0.419290617857634,0.357622267673704,0.757822122629892,0.140245117611659,0.425568622604062,0.536685864057637,0.0486942680711003,0.293348953396941
239,Auxenochlorella,0.391655215026358,0.376010785196655,0.628796746929568,0.661385850103062,0.329541945655335,0.0402952351287413,0.303711232750967,0.264330548522894,0.318470073612918,0.0802298969736562,0.436549621584867,0.460149802375678,0.376513282317966,0.267263128898428,0.287147806202769,0.951509768312882,1.11292958609803,0.987475141053884,1.59908195281191,1.85204600871195,0.58546234309933,1.94124216685434,2.11417380192552,0.929363551454917,1.53142483945584,0.618075069749772,0.199586798064342,0.274423556349255,0.180625604721048,0.23367913,0.945761683839125,1.0655547248442,0.691132841700037,0.758042094168267,0.947255526018606,0.6235744162933,0.22371117,0.377361582232204,1.68082438506948,0.438739107889675,0.98171584,0.1702274,0.825670528026601,0.24347134,1.66231041679388
240,Azoarcus,3.02693526708922,2.8270440237142,2.46385696962567,2.5546658019782,5.12564431813134,2.82066640283231,2.65747322889548,3.70062748261447,2.93700182806459,3.81091988197259,2.54653945594325,2.84456243325949,3.20036291129255,3.34078904012878,4.19953667494952,1.85386403858438,1.52883414356726,2.19138305118652,2.24542992870651,2.17119753023477,1.75638700723177,2.05771673455323,2.20609442310619,2.78809056718237,2.4065247680553,1.7168751329997,0.997933989273454,0.975728169319832,2.34813285429205,1.75259375654836,2.965090923426,3.08249760896646,2.45845845925414,2.40568746623237,3.31046060017195,2.29943073698611,1.82697455695108,3.8155446335729,3.11131378371593,3.90876648782555,3.1204538596991,2.80875287432234,3.75680116011084,2.97035043791971,3.91131855511435
241,Azohydromonas,3.35704476368759,2.93149137071323,3.02421322454523,2.6909820564629,5.27774048036109,2.29682841283231,2.50561750953806,3.85922567350074,3.71548431477424,6.29804646868281,2.76481422678298,2.59357161069055,3.95338955043085,2.538999782289,5.59938218367753,3.04764006042903,2.72263415368859,1.31212442865057,2.62316583452613,2.30175963158514,1.79820586103311,1.86359254713586,0.827285402888274,2.55574965145492,2.01272984945584,1.92290008937494,2.09566110403217,2.22587995648529,3.16094801888419,3.27150820517204,1.41608644390863,1.82666513293115,2.16719518153789,2.42448201132371,3.58674351903721,1.44201584573325,2.0134003990364,1.25787183785763,1.75234923809059,2.67232004207826,1.33232853283498,1.23414892,3.05498100208424,2.87296182142201,2.20011669832047
