,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Meiothermus,2706,1779,1295,2296,3373,2414,1215,1394,1385,3541,3014,3190,2985,3595,3270,0,0,0,0,0,1430,2063,1009,0,0,0,0,446,922,741,779,1088,805,456,895,1299,755,0,300,479,427,564,946,107,66,18,211,77,99,104,52,0,0,66,63,170,42,67,50,172,81,153,108,92,7,110,147,184,104,141,199,139,57,101,141,222,74,10,62,58,36,100,61,3982,3716,850,750,386,717,1044,768,144,897,400,588,550,1472,300,301,232,230,418,427,637
Nitrosococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1983,2472,2391,0,0,1810,0,0,0,0,0,2000,1251,352,180,0,0,228,0,0,0,0,0,130,120,501,110,295,0,520,254,0,278,167,3,0,308,380,277,417,0,277,0,0,0,594,0,4,0,0,0,280,274,6279,6236,2642,2807,1518,2754,3121,4897,311,2420,837,740,754,2267,445,423,762,731,923,861,684
Chloroflexus,0,1861,1271,2164,3570,2077,0,1239,1622,0,2769,3346,3643,3757,4422,0,0,0,0,0,0,0,0,0,0,0,0,565,616,1391,1287,1648,960,0,1344,532,1371,0,396,525,718,782,901,103,91,13,188,96,104,122,88,0,0,57,66,263,48,98,67,228,108,196,116,80,5,124,119,188,104,124,220,148,58,112,103,204,107,0,87,104,28,77,74,3319,3261,1135,719,378,929,505,0,0,486,192,552,764,1656,372,314,392,314,1357,1363,1383
Kitasatospora,3687,3051,0,4716,4809,0,2694,0,0,5910,0,0,7646,4177,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,756,1149,943,1685,0,0,0,498,453,1650,0,105,37,335,178,150,114,153,0,0,127,120,157,53,70,118,179,91,119,72,57,8,136,120,140,129,108,268,143,67,101,146,177,0,18,186,129,55,81,109,5119,5126,972,0,0,1080,1152,910,0,0,0,1366,595,2192,499,575,1506,1324,0,0,0
Caldilinea,0,766,527,0,1543,922,0,569,634,0,1501,1535,1507,1365,1551,0,0,0,0,0,0,546,523,0,0,0,0,0,0,723,987,1071,1083,0,964,821,1008,623,0,269,363,319,0,142,121,17,134,83,40,130,73,0,0,51,99,202,51,100,74,245,110,204,108,101,3,113,106,121,125,98,177,143,58,130,49,152,105,8,51,82,44,95,116,4518,4342,3077,2003,1110,2051,674,0,141,888,413,593,667,2119,512,403,528,429,1746,1699,1762
Delftia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7768,7379,1888,1863,5594,5351,9841,9993,8977,8240,11622,11177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitriliruptor,0,956,680,1167,2182,1017,545,596,592,0,0,1344,2163,1802,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,654,979,628,1323,2288,3790,2292,233,0,0,302,229,0,97,59,0,121,69,49,56,55,0,0,38,42,84,28,44,48,131,65,113,91,62,4,50,65,58,45,54,112,85,0,50,0,97,49,1,51,68,23,69,65,2242,2229,5717,2686,1371,6448,2324,501,546,2940,1176,495,281,670,226,155,118,107,130,0,151
Bdellovibrio,1376,0,0,2050,3244,1427,1281,0,975,2403,0,0,0,0,0,1881,1777,792,825,0,0,0,0,4387,4277,5009,4851,1189,1414,953,677,1687,1130,0,1068,0,1227,1156,495,664,544,502,0,102,87,18,0,75,0,92,42,0,0,34,67,121,39,48,0,108,66,105,44,64,9,103,87,230,156,171,135,115,68,107,87,135,50,5,63,85,34,122,94,8074,8003,1008,673,386,550,0,0,82,680,254,0,220,753,0,162,0,0,245,263,284
Chloracidobacterium,947,1382,962,1794,2404,1374,910,1076,938,1978,2936,2139,4163,2950,3402,417,456,150,116,659,539,1031,1116,400,0,500,519,488,760,580,1313,1732,5802,0,1142,673,1362,302,340,651,667,964,1062,106,61,9,122,64,63,66,53,0,1,60,57,212,29,96,51,196,103,192,96,61,1,86,96,127,112,155,170,130,52,99,135,185,89,13,90,84,75,122,110,3708,3566,727,609,274,672,347,279,89,569,202,394,359,977,229,289,244,236,343,309,293
Pseudoxanthomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,0,2201,1885,2135,7530,0,0,994,814,0,187,202,67,622,356,163,191,193,2,0,101,115,483,110,184,118,318,164,312,409,167,15,345,454,443,365,285,467,247,168,377,180,305,296,14,153,233,152,221,208,11103,10681,3702,3160,1564,1850,2855,0,180,1600,705,0,0,1949,0,0,0,0,0,0,0
Salmonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893,0,0,0,0,0,10533,0,6844,0,8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,6315,1354,0,8440,7409,0,0,0,0,0
Catenulispora,8375,5084,0,3823,0,0,2487,3225,0,6283,0,0,5141,0,0,0,0,492,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,2280,0,52,48,414,178,403,121,603,2,0,77,163,0,73,96,334,159,123,0,118,0,5,95,97,150,90,215,212,0,60,116,243,269,0,0,196,191,52,104,88,5674,5387,0,0,0,0,984,918,0,0,0,868,685,1291,290,285,2484,2099,573,577,614
