Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Campylobacteraceae,2679,3534,1995,2442,1970,1301,1778,1473,1151,4286,3933,2515,3977,2986,2122
Candidatus Actinomarinaceae,100,147,95,79,81,58,69,42,43,136,113,114,187,134,158
Candidatus Brocadiaceae,2929,4640,2768,3205,2947,1984,2367,2248,1816,4788,5259,3719,5474,4019,3765
Candidatus Desulfofervidaceae,190,337,175,162,179,133,165,146,124,301,348,224,331,277,229
Candidatus Methanoperedenaceae,548,763,458,525,453,287,430,344,284,839,783,602,949,704,589
Candidatus Midichloriaceae,98,143,87,138,86,57,83,51,50,163,126,83,145,121,75
Candidatus Nitrosocaldaceae,7,9,7,6,12,9,3,6,9,6,12,18,8,15,10
Candidatus Paracaedibacteraceae,435,633,348,434,379,203,313,253,219,626,603,397,616,513,357
cannot be assigned,2510278,3520462,2071840,2081733,2052778,1429541,1654860,1591721,1325539,3313323,3676278,2866945,3914585,3078971,2890919
Cantharellaceae,2,1,0,1,0,0,0,0,3,3,2,4,6,0,3
Cardiobacteriaceae,654,896,515,524,465,348,413,347,249,871,817,652,879,651,568
Carnobacteriaceae,1728,2326,1452,1476,1287,903,1160,977,804,2406,2135,1630,2614,2020,1588
Catabacteriaceae,137,193,85,78,97,68,72,73,53,155,121,105,144,102,103
Catalimonadaceae,677,793,496,598,421,291,443,336,266,864,881,587,1106,745,673
Catenariaceae,1899,2755,1487,1595,1416,946,1282,1087,916,2698,2486,1808,2983,2217,1830
Catenulisporaceae,6758,8698,4293,8299,5321,3705,4756,3398,2871,10748,6225,6043,11483,7357,6375
Caulerpaceae,28,37,18,5,15,7,4,13,9,14,21,19,18,23,13
Caulobacteraceae,28429,42377,20961,24411,19715,13446,18392,14579,11558,42137,33565,22909,39879,29401,23316
Cellulomonadaceae,18519,23497,12417,14555,11750,8488,12117,9298,7537,24191,19247,15346,32209,20869,18570
Cellvibrionaceae,3482,5143,2833,3209,2743,1911,2274,2014,1654,5132,4774,3683,5063,3899,3215
Cenarchaeaceae,154,233,147,122,176,99,92,129,102,176,219,256,268,196,149
Ceraceosoraceae,1165,1576,933,899,880,600,780,675,499,1689,1467,1088,1691,1352,1061
Ceramiaceae,17,20,16,11,7,11,7,7,2,28,25,14,22,30,17
Ceratobasidiaceae,5934,8049,4443,4739,4150,2848,3847,3183,2576,8478,7372,5547,8825,6455,5329
Ceratocystidaceae,1002,1272,756,859,684,518,658,564,412,1372,1290,925,1434,1074,875
Cercomonadidae,6,1,2,5,0,0,0,0,0,3,2,3,6,2,0
Chaetocerotaceae,6,3,1,1,1,0,3,1,2,4,2,1,1,2,0
Chaetomiaceae,5892,7929,4112,4478,3958,2867,3549,3122,2520,7421,7096,5209,8944,6585,5395
Chaetopeltidaceae,3,4,3,4,2,4,7,2,0,9,7,4,10,7,3
Chaetophoraceae,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Chaetothyriaceae,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0
Chamaesiphonaceae,474,690,335,419,343,257,345,263,214,740,610,445,801,576,503
Champiaceae,4,4,2,1,0,0,0,0,2,2,5,2,10,2,2
Characiochloridaceae,1,2,0,1,1,0,2,0,3,4,1,1,1,2,3
Chattonellaceae,11,15,8,9,6,6,11,5,0,12,14,9,9,7,6
Chitinispirillaceae,268,349,236,241,224,143,217,165,105,350,328,312,394,355,261
Chitinivibrionaceae,139,194,108,117,106,98,98,80,70,174,171,159,194,162,150
Chitinophagaceae,35433,38623,16331,17982,16032,10790,16960,12454,10500,25627,29930,18344,58310,34252,23869
Chlamydiaceae,1480,2172,1217,1218,991,752,896,799,672,1960,1881,1385,2097,1631,1284
Chlamydomonadaceae,3958,5365,2925,2841,2672,1763,2386,2169,1714,4984,4777,3648,6122,4536,3930
Chlorellaceae,6839,9321,5057,5124,4591,3310,3997,3663,3070,8453,8185,6278,10929,7916,6996
Chlorobiaceae,3065,4420,2635,2764,2510,1751,2237,1888,1504,4336,4393,3381,5033,3712,3235
Chlorodendraceae,6,7,4,1,9,3,5,5,2,11,14,6,17,2,8
Chloroflexaceae,3307,5051,2785,2508,2442,1737,2079,1894,1645,4230,4291,3477,5256,4223,3990
Chlorogloeopsidaceae,427,666,330,463,373,259,338,257,187,698,615,430,746,516,475
Choanephoraceae,473,639,438,428,315,232,328,255,235,656,578,392,728,529,444
Chordaceae,1,0,1,0,0,1,0,1,0,2,1,0,0,1,0
Chordariaceae,2,4,0,4,3,2,2,2,2,6,1,2,3,2,8
