Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Chytridiales,1010,1483,803,854,747,552,724,590,438,1445,1363,962,1635,1153,956
Clostridiales,80267,117400,65713,69240,61423,44270,55955,47684,39975,110698,105531,81028,126625,97410,80134
Coccolithales,1,1,1,5,0,0,0,0,0,1,1,0,0,2,0
Collodaria,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0
Coniochaetales,1524,2063,1088,1241,994,695,1016,824,650,2057,1890,1280,2223,1686,1301
Corallinales,5,14,4,11,4,11,6,3,2,7,3,10,8,9,5
Coriobacteriales,5384,7736,4309,4349,3942,2864,3702,3088,2607,6911,6498,5385,8757,6484,6026
Corticiales,1561,2120,1139,1202,1076,708,848,756,664,2156,1778,1299,2294,1639,1397
Corynebacteriales,287295,379019,195806,274050,192827,135961,192668,150651,115880,403303,317612,236695,483882,312255,274534
Coscinodiscales,1,0,0,3,0,0,3,0,0,3,0,1,3,2,0
Cryptomonadales,28,36,17,23,20,12,8,10,14,57,34,21,39,18,14
Ctenocladales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanidiales,1122,1563,836,1012,792,573,780,670,494,1517,1431,1110,1665,1239,998
Cymbellales,5,3,2,12,2,0,1,1,0,4,3,1,3,2,2
Cystofilobasidiales,830,1214,691,654,602,444,541,465,359,1217,1067,772,1314,944,757
Cytophagales,40678,53829,28574,32819,27285,19274,26250,21671,16862,52272,50242,35355,67119,47078,37112
Dacrymycetales,4711,6375,3607,3536,3207,2300,2884,2513,2100,6416,5662,4321,7488,5237,4381
Dasycladales,4,13,3,10,8,2,5,3,2,7,1,3,7,1,1
Deferribacterales,760,1084,647,651,622,479,496,480,427,1052,1100,847,1207,973,879
Dehalococcoidales,464,754,472,425,465,301,356,328,249,646,685,592,771,647,565
Deinococcales,13487,18779,10359,11190,9815,6992,8749,7560,6361,16580,16115,13176,20777,15463,13622
Desmarestiales,3,2,1,0,3,4,0,5,2,1,4,3,3,2,0
Desulfarculales,1556,2267,1307,1313,1217,848,1001,895,760,1962,2161,1717,2425,1858,1750
Desulfobacterales,19686,28782,16328,17786,16058,11126,13901,12084,10294,27826,29014,21636,31932,23768,20790
Desulfovibrionales,19084,27946,15609,16576,15117,10696,13073,11990,9401,26505,25880,19858,29737,22569,19775
Desulfurellales,482,643,332,397,363,245,299,264,215,564,585,477,674,516,455
Desulfurobacteriales,335,580,325,309,296,212,234,233,222,467,527,430,579,493,435
Desulfurococcales,1116,1670,988,942,897,618,747,699,598,1465,1526,1240,1723,1366,1115
Desulfuromonadales,14729,21563,12099,13182,12239,8522,10670,9463,7674,20549,21756,16290,23604,18048,16450
Diaporthales,3868,5063,2740,3044,2459,1784,2359,2011,1663,4997,4555,3487,5560,4112,3261
Dictyoglomales,239,365,212,195,227,157,125,132,118,289,334,275,354,331,296
Dictyosteliida,4574,6102,3264,3661,3076,2175,2874,2327,1988,6446,5699,3845,6811,4940,3627
Dictyotales,1,5,1,1,3,5,1,0,0,8,5,3,2,1,1
Diplonemida,5,6,7,3,2,2,1,1,2,5,5,3,1,3,2
Diversisporales,1,0,2,4,0,0,1,2,0,1,2,2,1,1,1
Dolichomastigales,1,3,2,1,2,1,1,0,0,6,7,1,1,0,1
Dothideales,3996,5582,2990,3506,2856,2079,2647,2289,1695,5762,5112,3757,6048,4532,3653
Ectocarpales,4466,6074,3279,3254,2978,2205,2750,2323,1997,5863,5327,4027,6959,5020,4248
Eggerthellales,2329,3401,1787,1973,1721,1310,1590,1322,1129,3071,2951,2347,3674,2749,2500
Elusimicrobiales,75,118,81,59,55,39,53,44,41,108,97,80,110,88,91
Endomicrobiales,102,206,107,108,100,60,77,72,68,165,187,155,203,157,137
Enterobacterales,42145,60406,33912,40080,32194,22355,29668,24677,19992,65517,57647,41252,64858,45662,37233
Entomophthorales,397,529,261,307,303,196,274,200,176,540,461,322,546,416,309
Entomoplasmatales,416,581,306,338,305,228,287,198,174,542,548,397,610,427,321
Erysipelotrichales,1871,2758,1527,1643,1435,1007,1305,1062,957,2606,2432,1833,2886,2198,1666
Erysiphales,998,1332,723,980,684,502,627,533,401,1566,1207,777,1312,1016,723
Eucoccidiorida,26068,36052,19401,20987,18360,12961,16538,14317,11763,34867,32320,24369,39910,29214,24736
Euglenales,32,60,21,38,26,16,29,17,23,79,56,30,65,49,35
Euglyphida,64,117,49,61,81,37,43,43,44,93,94,86,132,83,72
Eugregarinorida,789,1128,585,650,608,419,562,477,346,1124,1007,738,1233,1206,755
Eunotiales,3,4,2,2,3,0,0,1,1,1,5,1,4,1,0
Euplotida,9,14,5,6,7,4,9,3,7,20,15,11,19,17,7
Eupodiscales,1,1,0,5,2,1,0,0,1,1,0,0,0,0,1
Eurotiales,38208,53458,28526,34078,26442,19308,25099,20892,16682,54208,47752,34286,56423,41565,32739
Eustigmatales,2254,3036,1683,1655,1478,1053,1400,1195,962,2966,2646,2124,3444,2482,2148
Eutreptiales,4,6,1,1,5,4,2,2,3,7,6,5,2,5,5
Ferrovales,1122,1606,1058,870,906,584,730,670,618,1458,1849,1429,1685,1098,1054
Fervidicoccales,36,62,23,36,29,18,35,23,28,65,50,47,57,29,25
Fibrobacterales,1065,1371,787,937,779,562,746,580,526,1516,1328,962,1659,1211,964
Filobasidiales,2,2,3,5,0,1,0,1,0,0,7,0,1,3,2
Fimbriimonadales,2351,3605,1847,1722,1614,1206,1431,1185,1038,2683,3041,2166,3242,2584,1914
Flavobacteriales,34375,45342,23704,27598,22535,15699,22248,17400,13899,45947,42267,28321,55838,38768,29583
Fragilariales,5,14,4,4,4,4,7,5,2,8,15,7,4,13,2
Frankiales,62635,70532,34655,55219,38225,26752,43558,27997,21453,91500,57519,42795,124731,64505,55882
Fucales,19,20,11,11,15,6,10,5,8,22,22,13,15,14,10
Fusobacteriales,1849,2390,1372,1516,1313,942,1160,1002,822,2425,2319,1646,2642,1996,1558
Gaiellales,9972,8466,2494,1516,1881,1721,2166,2049,1638,2080,5977,4073,17362,15807,20338
Gallionellales,4976,7037,4154,3231,3558,2471,2608,2723,2535,5742,7633,6079,6710,5053,5019
Geastrales,1945,2719,1440,1663,1406,1011,1268,1048,845,2921,2531,1808,3039,2139,1649
Gelidiales,8,15,8,5,4,1,6,2,2,15,16,9,9,5,3
Gemmatimonadales,34591,38432,22031,16550,18689,15559,15908,17761,14912,37874,46950,41200,56140,35955,43479
Geodermatophilales,34337,39718,19523,28748,20843,14872,23811,15818,12219,48959,32260,24373,68018,37011,32666
Georgefischeriales,904,1434,748,794,672,497,659,546,444,1251,1182,940,1466,1120,878
Gigartinales,1214,1778,919,983,925,625,793,686,573,1691,1609,1185,1912,1485,1196
Glaucocystales,1,2,1,4,1,0,0,0,0,12,2,4,6,3,5
Gloeobacterales,2327,3538,1942,2351,1979,1399,1742,1591,1164,3626,3554,2458,3917,2856,2589
Gloeoemargaritales,300,448,278,272,247,160,188,195,161,377,427,340,518,449,311
Gloeophyllales,2398,3198,1801,1925,1693,1235,1531,1262,1086,3570,3040,2253,3820,2678,2104
Glomerales,1489,1980,1158,1439,1151,1536,979,712,609,2260,2717,907,2591,2287,1196
Glomerellales,16716,22877,12610,13661,11622,8349,10780,9157,7415,22664,20113,15282,25489,18343,15478
Glycomycetales,5176,6319,3225,4469,3312,2480,3493,2659,2038,7491,5330,4069,9090,5673,4971
Goniochloridales,1,6,0,1,1,1,3,6,1,2,3,9,5,3,3
Gonyaulacales,43,57,37,26,44,23,34,30,25,65,66,49,59,49,32
Gracilariales,13,32,9,12,10,1,6,7,13,21,20,14,14,21,6
Gymnodiniales,36,66,30,35,21,25,27,25,13,44,49,34,44,39,20
Haemosporida,6467,8915,4615,5239,4307,3073,4213,3206,2832,9261,7981,5549,9977,7189,5070
Halanaerobiales,1600,2515,1420,1327,1240,935,1079,981,860,1907,2124,1791,2536,2140,1842
Halobacteriales,7198,10338,5707,5757,5243,3926,4681,4202,3447,9355,9038,7137,11025,8373,7243
Haloferacales,9050,12562,6725,7224,6570,4651,5797,5212,4263,11304,11096,8759,13836,10101,9146
Haloplasmatales,66,88,68,59,67,50,45,49,46,121,103,80,122,94,70
Halymeniales,3,7,8,5,3,1,4,8,7,9,6,5,11,7,8
Harpellales,1321,1706,908,993,794,602,792,689,510,1768,1579,1078,1884,1448,981
Helotiales,14153,19112,7922,13276,9269,6507,6918,5687,5466,23090,14615,9089,16476,13279,8093
Herpetosiphonales,1819,2502,1372,1447,1371,973,1263,1006,946,2390,2244,1807,3204,2374,2064
Heterotrichida,830,1155,628,738,553,392,574,445,351,1380,1085,736,1209,867,600
Hildenbrandiales,13,16,11,6,3,4,13,2,3,9,5,6,22,8,13
Holophagales,1917,2457,1423,1611,1532,971,1215,1116,948,2406,2786,2074,2944,2262,2127
Holosporales,1044,1648,935,1090,941,562,808,706,509,1715,1536,1029,1582,1202,894
Hydrogenophilales,4677,6766,3863,3200,3538,2326,2659,2645,2498,5462,7114,5356,6766,5249,5049
Hymeneliales,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Hymenochaetales,3643,5206,2747,3041,2549,1888,2445,1973,1571,5484,4702,3362,5707,4013,3249
Hymenostomatida,1045,1466,774,909,704,544,748,530,446,1658,1349,895,1650,1183,702
Hypocreales,42456,58790,31389,35800,29417,20995,27546,23163,18945,59182,52483,38643,63360,46930,37529
Ignatiales,1,4,2,1,1,0,1,0,0,3,1,0,5,7,0
Ignavibacteriales,991,1432,857,803,837,586,659,605,547,1332,1564,1247,1872,1362,1220
Immundisolibacterales,573,922,512,494,455,304,443,373,251,864,912,644,963,653,606
Isochrysidales,8556,11454,6282,6084,5591,3947,5090,4418,3797,10672,10320,7920,13785,9902,8900
Jaapiales,1814,2261,1289,1305,1195,829,1079,927,756,2724,2110,1551,2757,1901,1512
Jiangellales,7138,8337,4090,6166,4310,3115,4954,3352,2628,10164,6760,5215,13594,7533,6769
Kickxellales,722,1096,598,647,540,381,478,408,352,1103,927,731,1279,900,699
Kiloniellales,889,1378,686,862,763,521,633,558,453,1248,1230,830,1303,1045,777
Kineosporiales,3779,4428,2071,2949,2191,1464,2550,1630,1391,4983,3433,2727,7118,4203,3886
Kinetoplastida,23234,31996,17681,18908,16458,11884,15123,13009,10517,31959,29101,21457,35053,25554,21322
Kiritimatiellales,461,679,432,508,414,282,364,285,229,595,624,457,794,615,567
Kordiimonadales,795,1222,653,771,629,454,579,496,387,1229,1034,813,1200,832,757
Kosmotogales,513,809,479,506,454,303,362,325,253,759,694,599,807,625,553
Kriegeriales,2,5,0,4,3,4,1,0,2,5,8,3,9,5,4
Ktedonobacterales,108958,54960,28051,88461,47427,28998,102770,49386,20242,218849,80751,26971,173558,42176,16855
Lactobacillales,20238,28653,16038,18172,14658,10527,14205,11491,9437,29454,26521,19170,31268,23354,17687
Lagenidiales,2,2,0,1,1,0,0,0,0,2,1,1,0,2,0
Laminariales,17,10,11,10,5,7,10,7,5,18,19,16,12,16,4
Lecanorales,18,11,10,28,10,6,13,6,10,21,23,19,27,32,13
Lecideales,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Legionellales,7966,12581,7230,7325,6648,4513,5492,4878,4179,11532,11356,8305,11321,8603,6874
Lentisphaerales,326,493,257,313,266,175,222,185,130,452,448,319,565,380,340
Leptocylindrales,2,4,2,0,2,1,0,1,1,1,3,1,2,1,1
Leucosporidiales,2110,2806,1438,1519,1323,946,1247,1036,867,2567,2442,1857,3149,2322,1943
Limnochordales,1284,1938,1217,955,1113,819,788,777,748,1426,1578,1450,2070,1710,1712
Longamoebia,2408,3326,1838,1949,1728,1213,1543,1251,1082,3214,3054,2226,3748,2782,2393
Magnaporthales,5866,7926,4328,4695,3975,2782,3558,3144,2575,7663,7062,5217,8535,6602,5439
Magnetococcales,946,1424,804,948,790,559,705,620,487,1390,1372,953,1380,1093,983
Malasseziales,1647,2346,1311,1325,1138,852,1078,948,731,2344,2087,1595,2716,1903,1579
Mamiellales,9029,12383,6378,6517,5699,4188,5466,4586,3998,10835,10540,7950,14030,10418,8884
Marinilabiliales,3043,4219,2160,2478,2053,1365,1985,1548,1240,4041,3681,2523,4911,3384,2604
Mariprofundales,373,502,317,290,276,232,240,243,194,491,545,422,589,454,384
Marsupiomonadales,1,1,0,2,1,1,1,1,1,4,2,0,0,2,1
Mesoaciditogales,139,177,100,127,83,71,87,72,60,177,173,125,209,144,172
Methanobacteriales,1556,2322,1469,1362,1205,891,1051,922,828,2174,2126,1626,2418,1941,1457
Methanocellales,546,851,452,470,488,318,365,324,299,705,701,615,842,647,552
Methanococcales,455,639,397,348,349,245,300,243,260,638,667,427,655,522,382
Methanomassiliicoccales,543,821,476,420,401,303,392,348,265,699,733,574,771,673,524
Methanomicrobiales,3508,5042,2841,2958,2638,1939,2348,2029,1678,4642,4552,3665,5449,3883,3487
Methanopyrales,185,210,102,102,104,78,96,100,91,195,134,137,226,157,147
Methanosarcinales,4908,6994,4644,4500,4284,2799,3759,2907,2450,7468,8046,5355,8842,5617,4911
Methylacidiphilales,736,1019,571,1208,705,507,637,555,378,1016,1022,787,1307,998,755
Methylococcales,13168,19528,11194,11838,10379,7165,8831,8108,6428,18408,19565,14514,20296,14653,13034
Methylophilales,4343,6087,3382,2966,2956,2006,2440,2272,1995,5089,6327,5001,5714,4406,4207
Microascales,1962,2649,1475,1723,1336,975,1260,1084,840,2694,2484,1852,2830,2184,1758
Microbotryales,1196,1660,917,1000,829,603,705,713,519,1730,1536,1086,1862,1313,1103
Micrococcales,206797,270708,141357,164501,137662,96877,134763,105865,86046,266759,222543,174753,346064,230149,207283
Micromonosporales,105019,122369,62041,88869,64661,46643,71497,49216,39036,150335,102181,77934,198070,114930,98060
Micropepsales,1059,1146,573,1052,457,258,757,394,220,1883,993,568,1341,850,579
Microthamniales,14,22,17,8,18,6,13,13,5,17,26,16,24,33,9
Microthoracida,3,0,0,2,0,0,0,0,0,0,0,1,0,0,3
Mixiales,839,1094,588,643,610,437,558,439,374,1119,991,719,1245,864,729
Monoblepharidales,2400,3186,1717,1702,1524,1107,1458,1281,1013,3102,2729,2139,3668,2559,2270
Monomastigales,9,10,3,5,2,2,3,5,2,6,4,8,9,5,4
Mortierellales,4237,5195,2759,3194,2994,2115,2549,2051,1763,6091,4820,3752,5927,4259,3559
Mucorales,9880,13716,7242,8147,6761,4735,6469,5195,4325,13871,12351,8506,14473,10789,8145
Mycoplasmatales,1918,2495,1288,1267,1025,726,1032,749,680,2132,2113,1228,2171,1717,1079
Myriangiales,3,2,1,2,3,0,1,1,0,2,8,0,1,3,1
Mytilinidiales,1233,1872,839,1329,831,614,831,623,538,1959,1516,1065,1839,1347,992
