Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Dibaeis,2,5,1,0,0,0,0,2,1,2,2,3,0,0,0
Dichelobacter,80,121,67,73,56,42,62,45,30,86,100,69,94,69,83
Dichomitus,1372,1881,1033,1036,942,629,887,787,582,1998,1685,1259,2120,1494,1262
Dichotomaria,2,2,2,1,2,0,2,0,1,1,1,0,0,3,2
Dickeya,1039,1572,840,1060,835,590,772,663,557,1534,1387,1103,1614,1214,987
Dictyoglomus,239,365,212,195,227,157,125,132,118,289,334,275,354,331,296
Dictyostelium,2854,3799,1955,2243,1858,1339,1790,1481,1209,3984,3448,2337,4188,3075,2202
Didymium,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0
Didymoeca,4,4,0,0,4,0,3,0,0,0,1,3,7,1,3
Didymosphenia,5,3,2,11,2,0,1,1,0,4,3,1,3,2,2
Dielma,24,33,22,23,23,15,19,17,16,31,28,23,49,23,21
Dietzia,2400,3311,1652,1863,1605,1174,1538,1199,993,3184,2936,2073,4124,2751,2271
Dinoroseobacter,264,332,223,252,182,133,191,165,121,321,327,262,421,329,233
Diplodia,2577,3393,1924,2125,1712,1242,1622,1357,1085,3467,3080,2379,3966,2898,2300
Diplonema,5,6,7,3,2,2,1,1,2,4,3,3,0,3,2
Diplorickettsia,71,99,57,68,80,41,60,37,29,71,96,66,93,57,60
Diploschistes,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Diplosphaera,275,410,217,244,205,142,168,134,105,377,353,262,490,354,309
Discoplastis,1,1,0,1,0,1,5,1,0,7,1,1,5,0,1
Dissulfuribacter,231,328,198,225,173,139,163,142,124,303,308,239,336,287,259
Diutina,1,0,3,0,0,2,0,0,0,2,0,0,0,0,0
Dixoniella,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2
Dokdonella,2602,3257,1663,1525,1675,1046,1437,1172,954,2629,2755,2018,3516,2292,2027
Dokdonia,156,171,107,106,91,58,89,70,65,187,202,112,221,190,131
Dolichomastix,1,3,2,1,2,1,1,0,0,6,7,1,1,0,1
Dolichospermum,151,187,105,126,95,71,82,70,87,195,192,141,243,182,140
Dolosicoccus,30,57,31,26,14,12,25,23,29,53,52,28,55,39,37
Dolosigranulum,53,64,32,42,35,21,28,23,27,72,62,55,98,65,46
Domibacillus,486,713,410,455,391,272,341,311,236,699,638,488,760,569,511
Donghicola,170,233,150,146,167,94,129,137,98,248,249,172,251,221,184
Dongia,1999,2868,1360,2244,1755,1256,1446,1367,872,3109,2888,1751,3088,2019,1586
Dorea,390,592,325,364,313,195,271,227,175,515,486,356,592,440,328
Dothistroma,953,1284,668,745,649,489,604,497,416,1377,1161,860,1292,1020,791
Draconibacterium,326,402,235,287,200,136,240,156,119,422,404,245,495,359,269
Drancourtella,6,13,6,8,2,6,9,2,0,9,10,11,15,11,7
Drechmeria,1726,2263,1235,1353,1118,827,1129,959,799,2339,2102,1549,2533,2013,1707
Drechslerella,617,893,452,527,410,311,362,360,250,872,765,579,953,714,593
Drepanomonas,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Dubosiella,44,65,53,38,34,13,37,21,14,46,48,43,58,45,48
Duganella,5008,8719,4770,4192,4503,3015,3323,2911,2869,7886,7515,6752,7510,6160,5683
Dumontinia,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Dunaliella,16,38,14,19,18,9,21,8,6,38,39,17,35,27,25
Duodenibacillus,38,44,25,38,23,23,23,17,17,43,44,41,57,42,37
Durinskia,2,1,1,2,0,0,1,0,2,2,1,0,3,2,3
Dyadobacter,2913,3647,2019,2449,1863,1332,1840,1514,1156,3655,3299,2315,4569,3173,2409
Dyella,4338,6210,3359,4081,3448,2722,2933,2465,2045,6329,6249,4128,5802,4266,3573
Dysgonomonas,597,852,453,590,433,310,437,279,246,813,778,529,981,691,478
Echinamoeba,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinicola,302,432,227,268,248,158,195,178,141,456,453,260,537,374,290
Ectocarpus,4446,6057,3271,3232,2962,2199,2742,2317,1995,5832,5318,4019,6934,5005,4233
Ectothiorhodosinus,160,239,134,141,116,74,95,112,80,209,265,180,222,196,140
Ectothiorhodospira,1161,1686,951,874,885,611,694,674,547,1569,1566,1187,1622,1211,1116
Edaphobacillus,84,144,75,95,66,57,67,39,38,144,141,76,122,92,95
Edaphobacter,8465,17659,8318,18805,10339,6379,11706,8826,4180,25988,17491,8935,14595,8557,6001
Edaphochlorella,1,4,2,0,3,0,1,0,0,3,1,1,2,3,1
Edhazardia,110,109,48,55,71,50,58,53,33,113,137,100,134,96,45
Edwardsiella,617,837,452,529,438,357,409,370,292,916,800,591,955,690,542
Effusibacillus,355,579,316,296,326,206,239,190,210,408,409,410,524,466,413
Eggerthella,511,820,409,434,408,317,311,298,266,651,712,571,776,595,551
Eggerthia,32,41,20,21,27,25,23,19,13,35,44,37,52,32,28
Ehrlichia,108,161,82,119,71,62,76,64,46,165,153,104,178,123,72
Eikenella,373,443,262,293,269,187,256,187,158,492,471,370,520,408,316
Eimeria,12956,17984,9499,10334,9167,6305,7978,7030,5760,17068,15731,12013,19912,14649,12423
Eisenbergiella,72,110,50,64,54,34,50,41,27,114,94,77,114,93,74
Eisenibacter,212,334,151,175,149,113,128,102,94,281,264,197,327,224,239
Eleftheria,12,9,5,4,5,3,5,3,3,5,12,2,15,8,7
Elioraea,1415,2030,1188,1315,1187,778,1057,928,639,1985,1868,1391,2028,1595,1296
Elizabethkingia,541,687,359,432,325,197,321,259,220,659,593,441,750,588,388
Elliptochloris,3,2,1,1,3,2,4,6,1,3,7,6,5,6,1
Elsinoe,2,2,1,2,3,0,1,1,0,2,8,0,1,3,1
Elstera,545,831,426,489,398,270,371,336,244,802,694,456,702,490,392
Elusimicrobium,75,118,81,59,55,39,53,44,41,108,97,80,110,88,91
Emergencia,63,118,55,69,61,44,54,43,23,108,83,70,105,84,77
Emergomyces,590,830,456,561,413,282,389,330,281,820,749,543,895,669,608
Emiliania,8550,11443,6277,6070,5585,3945,5088,4412,3794,10665,10312,7917,13768,9891,8894
Emmonsia,1594,2164,1165,1454,1087,841,1114,869,660,2278,1926,1437,2392,1794,1443
Empedobacter,84,130,63,88,74,41,67,40,52,123,125,72,139,93,72
Emticicia,434,505,257,314,237,156,251,195,182,451,488,339,631,448,355
Encephalitozoon,165,231,101,138,122,72,113,92,63,246,207,130,262,194,125
Endocarpon,1432,2225,814,2158,801,595,946,644,505,2352,1747,927,1924,1731,917
Endomicrobium,102,206,107,108,100,60,77,72,68,165,187,155,203,157,137
Endozoicomonas,1508,2117,1225,1308,1095,777,1019,808,716,2244,2140,1621,2303,1659,1326
Enhydrobacter,3755,5797,2677,3704,2747,1771,2890,2697,1280,7732,5104,2587,5708,3882,2383
Enhygromyxa,1461,2164,1200,1302,1130,777,954,859,716,2088,2185,1610,2614,1870,1725
Enorma,34,45,15,26,22,16,23,14,18,27,48,30,53,39,38
Ensifer,3885,5907,3235,4079,3454,2328,2941,2703,1868,6199,5537,3857,6082,4408,3587
Entamoeba,777,1023,555,708,494,351,513,385,301,1200,934,618,1123,854,559
Enteractinococcus,210,257,143,178,136,93,145,104,82,310,236,176,390,211,195
Enterobacter,2748,3850,2252,2524,2043,1519,1970,1651,1275,4026,3740,2838,4167,3099,2505
Enterococcus,2563,3656,1858,2507,1929,1301,1780,1489,1208,3863,3183,2447,3742,2819,2117
Enterocytozoon,60,118,68,44,39,49,35,26,32,106,96,51,101,75,36
Enterorhabdus,283,393,210,248,220,143,220,164,137,425,358,285,494,348,301
Enterospora,58,64,30,28,36,33,37,27,18,86,69,29,56,54,26
Enterovibrio,595,849,470,577,455,325,384,342,288,821,800,587,873,652,530
Entomoneis,1,0,0,0,1,0,0,0,0,0,1,2,3,0,0
Entomoplasma,45,60,32,33,24,31,36,20,26,55,45,42,48,49,44
Entosiphon,1,1,1,1,0,0,0,0,0,1,0,1,2,5,0
Epibacterium,116,177,87,115,92,83,88,77,54,196,164,121,198,146,101
Epichloe,37,33,24,22,22,13,30,11,11,36,41,23,48,28,22
Epicoccum,1060,1534,772,920,737,538,629,604,442,1586,1309,888,1649,1162,962
Epidermophyton,3,0,0,0,0,0,0,0,0,4,1,0,1,2,1
Epulopiscium,449,704,348,420,311,232,327,246,203,644,577,383,723,489,389
Eremococcus,34,59,51,28,41,21,32,19,22,47,51,55,61,54,37
Eremothecium,582,853,443,515,445,273,410,311,252,871,797,490,961,663,539
Ergobibamus,1,0,1,0,1,0,1,0,0,0,0,0,3,0,1
Erwinia,1784,2594,1346,1660,1331,947,1231,1084,839,2638,2425,1689,2608,1921,1674
Erysipelatoclostridium,77,112,69,74,63,30,60,51,55,99,99,74,112,90,60
Erysipelothrix,118,174,105,80,93,58,95,65,68,158,150,99,156,119,109
Erysiphe,376,517,250,371,291,200,224,197,159,593,474,281,458,352,246
Erythrobacter,3609,5421,2915,3066,2663,1898,2401,2184,1700,4998,4527,3398,5444,3866,3231
Escherichia,4128,5469,3341,4036,3128,1942,2888,2335,2022,6908,5928,3806,6574,4651,3806
Escovopsis,763,1066,537,631,525,361,514,364,323,1121,959,735,1174,853,680
Estrella,180,312,195,163,161,79,133,104,107,214,203,195,226,216,179
Ethanoligenens,155,242,126,128,112,94,89,84,72,238,196,144,236,187,191
Ettlia,4,4,2,1,2,3,2,1,1,2,5,0,3,1,3
Eubacterium,2121,3239,1842,1969,1629,1184,1630,1292,1098,3116,2925,2130,3390,2487,2063
Eucheuma,1,2,0,0,0,0,0,0,0,0,1,1,3,0,0
Eudoraea,124,199,97,112,105,63,89,65,51,187,211,124,239,171,156
Eudorina,12,9,9,5,6,2,3,5,3,15,13,3,19,7,8
Euglena,16,36,15,20,15,10,14,11,18,49,39,24,35,28,16
