Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Fusobacteria,1950,2497,1424,1563,1367,981,1211,1039,851,2534,2413,1728,2749,2092,1623
Gemmatimonadetes,74345,86618,51708,36281,44068,35460,34439,39473,36604,81345,113279,102020,121509,83862,112105
Ignavibacteriae,7557,10785,6291,6539,6418,4262,5233,4877,3901,10645,12167,9408,13448,10253,9444
Kiritimatiellaeota,461,679,432,508,414,282,364,285,229,595,624,457,794,615,567
Lentisphaerae,6650,9481,5292,6280,5254,3776,4467,3928,3091,9121,8981,6871,10701,8094,7037
Microsporidia,1453,2109,1124,1295,1048,741,964,791,619,2174,2055,1203,2234,1653,1067
Mucoromycota,15621,20915,11172,12803,10923,8390,10010,7971,6702,22249,19919,13179,23023,17352,12912
Nanoarchaeota,18,33,26,17,21,17,25,22,18,44,46,31,42,28,18
Neocallimastigomycota,1484,2033,1068,1302,986,709,976,709,637,2167,1905,1266,2259,1652,1116
Nitrospinae,1765,2670,1651,1586,1507,1091,1184,1157,1079,2394,2865,2233,3058,2366,2383
Nitrospirae,24746,37453,24421,21530,25772,18164,17188,18710,18317,38325,62476,48597,48410,42696,60964
Phaeophyceae,4509,6114,3310,3282,3008,2229,2774,2341,2015,5926,5381,4067,7002,5059,4266
Pinguiophyceae,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0
Planctomycetes,123453,207771,115522,124706,112780,76588,90044,84319,69431,166937,166555,138608,185647,143311,120682
Proteobacteria,2179546,3276310,1755035,2038099,1710437,1195882,1535165,1370919,1040260,3275128,3014010,2180682,3227439,2381341,2010047
Spirochaetes,14640,20870,11865,13372,11522,7945,10281,8623,7065,20506,20086,14513,22943,17205,14273
Synergistetes,3443,5160,2966,2885,2768,1936,2290,2096,1791,4429,4517,3703,5292,4234,3598
Tenericutes,2990,4080,2084,2135,1823,1300,1755,1315,1153,3600,3483,2243,3824,2964,1964
Thaumarchaeota,5586,7408,7162,6306,10120,7432,6202,7679,6854,4103,15354,18542,15700,11957,9218
Thermodesulfobacteria,1135,1711,937,958,906,718,780,640,619,1431,1662,1208,1655,1389,1238
Thermotogae,2678,4076,2371,2482,2293,1673,1825,1635,1417,3591,3697,3050,4319,3492,3071
unclassified,1083,1157,1189,677,402,340,550,278,463,1742,1162,1232,1410,1124,399
Verrucomicrobia,145478,169057,120241,302793,167231,114270,188407,147351,88574,228807,232781,177975,389679,342301,291330
Viruses,18828,26185,13901,14644,13028,9095,11895,9929,8318,25439,23273,17086,28640,20657,17115
Xanthophyceae,3,11,3,3,1,5,9,3,2,11,2,7,12,6,6
Zoopagomycota,3226,4433,2333,2555,2153,1563,2051,1706,1403,4494,3926,2776,4842,3622,2613
Haplosporidia,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
