Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Chlamydiia,4165,6997,3947,3820,3159,2275,2629,2336,2137,5598,5325,4385,5712,4582,3484
Chlorobia,3065,4420,2635,2764,2510,1751,2237,1888,1504,4336,4393,3381,5033,3712,3235
Chlorodendrophyceae,6,7,4,1,9,3,5,5,2,11,14,6,17,2,8
Chloroflexia,8912,13249,7281,6739,6696,4730,5817,4967,4496,11384,11314,9402,14974,11927,11218
Chlorophyceae,21049,27409,14927,14270,13277,9300,12156,10900,8730,25576,24421,18552,33069,23645,20435
Chrysiogenetes,376,600,342,365,337,212,275,251,227,573,551,440,619,509,430
Chrysophyceae,5,3,9,2,8,4,2,1,6,2,10,6,7,8,9
Chthonomonadetes,2234,3306,1865,1701,1506,1047,1379,1026,923,2482,2742,2139,3358,2728,1888
Chytridiomycetes,3303,4668,2494,2722,2369,1675,2136,1820,1456,4720,4386,3095,4989,3619,2883
Clostridia,89842,132687,74469,77107,69297,50037,62455,53522,45312,122508,118484,91921,141554,110027,91456
Coccidia,26068,36052,19401,20987,18360,12961,16538,14317,11763,34867,32320,24369,39910,29214,24736
Compsopogonophyceae,5,2,6,2,3,1,1,2,1,13,6,4,3,4,2
Coriobacteriia,7764,11216,6140,6374,5705,4200,5329,4442,3759,10047,9517,7785,12506,9296,8581
Coscinodiscophyceae,8209,10967,5850,5989,5526,3902,5043,4396,3781,10036,9569,7318,13052,9364,8127
Cryptophyta,1811,2558,1488,1503,1372,963,1165,1053,843,2670,2333,1697,2751,2051,1569
Cytophagia,40678,53829,28574,32819,27285,19274,26250,21671,16862,52272,50242,35355,67119,47078,37114
Dacrymycetes,4711,6375,3607,3536,3207,2300,2884,2513,2100,6416,5662,4321,7488,5237,4381
Deferribacteres,760,1084,647,651,622,479,496,480,427,1052,1100,847,1207,973,879
Dehalococcoidia,2818,4717,3111,2027,2518,1744,1824,1830,1804,3156,4147,3781,4306,4171,4042
Deinococci,21212,30333,16790,17680,16115,11455,13937,12294,10452,26078,26431,21223,32915,25045,22548
Deltaproteobacteria,197642,278665,152348,162187,152452,108461,127424,114012,98839,258422,283760,204487,323064,239536,218871
Dictyochophyceae,1,2,1,4,0,0,0,0,0,0,1,0,4,0,0
Dictyoglomia,239,365,212,195,227,157,125,132,118,289,334,275,354,331,296
Dinophyceae,8299,11706,6375,7254,6164,4438,5666,4932,3856,11847,10702,7977,12815,9234,7799
Dothideomycetes,41355,58141,30544,38643,29245,20913,26880,22799,17982,60970,51431,37496,62812,46459,36331
Elusimicrobia,75,118,81,59,55,39,53,44,41,108,97,80,110,88,91
Endomicrobia,102,206,107,108,100,60,77,72,68,165,187,155,203,157,137
Entomophthoromycetes,397,529,261,307,303,196,274,200,176,540,461,322,546,416,309
Epsilonproteobacteria,6389,8821,4935,5938,4649,3157,4418,3556,2950,9789,8905,6179,9631,7464,5688
Erysipelotrichia,1871,2758,1527,1643,1435,1007,1305,1062,957,2606,2432,1833,2886,2198,1666
Eurotiomycetes,75140,107145,55127,70829,52025,37136,49599,40397,32731,109175,93292,66429,110940,82502,64096
Exobasidiomycetes,6269,8785,4698,4934,4376,3073,4074,3462,2780,8582,7764,5955,9535,7136,5832
Fibrobacteria,1065,1371,787,937,779,562,746,580,526,1516,1328,962,1659,1211,964
Fimbriimonadia,2351,3605,1847,1722,1614,1206,1431,1185,1038,2683,3041,2166,3242,2584,1914
Flavobacteriia,34945,46135,24133,28054,22897,15962,22639,17676,14132,46656,42961,28795,56782,39441,30094
Florideophyceae,1353,1995,1047,1098,1001,699,890,751,647,1893,1785,1309,2125,1668,1325
Fragilariophyceae,5,14,5,4,5,4,7,5,3,9,15,8,5,13,2
